,FDA Brand Label,INDICATION 2,PEDIATRIC APPROVAL DATE 3*,Variation,GENE_ID,GENETIC_LABELS,DISEASE_LABELS,DISEASE_ID,,,,,,,,,,,,,,
51,Nilotinib [Tasigna],Treatment of pediatric patients greater than or equal to 1 year of age with chronic phase and accelerated phase Philadelphia chromosome positive chronic myeloid leukemia (Ph+ CML) with resistance or intolerance to prior tyrosine-kinase inhibitor (TKI) therapy,03-22-2018,positive,HGNC:1014 | HGNC:76,BCR | ABL1,Philadelphia chromosome positive chronic myeloid leukemia (Ph+ CML),MONDO:0011996,,,,,,,,,,,,,,
26,Rituximab [Rituxan],"Treatment of pediatric patients aged 6 months and older with previously untreated, advanced stage, CD20-positive diffuse large B-cell lymphoma (DLBCL), Burkitt lymphoma (BL), Burkitt-like lymphoma (BLL) or mature B-cell acute leukemia (B-AL) in combination with chemotherapy",12-02-2021,positive,HGNC:7315,MS4A1,B-cell acute leukemia (B-AL),MONDO:0004947,,,,,,,,,,,,,,
26,Rituximab [Rituxan],"Treatment of pediatric patients aged 6 months and older with previously untreated, advanced stage, CD20-positive diffuse large B-cell lymphoma (DLBCL), Burkitt lymphoma (BL), Burkitt-like lymphoma (BLL) or mature B-cell acute leukemia (B-AL) in combination with chemotherapy",12-02-2021,positive,HGNC:7315,MS4A1,Burkitt-like lymphoma (BLL),MONDO:0003658,,,,,,,,,,,,,,
26,Rituximab [Rituxan],"Treatment of pediatric patients aged 6 months and older with previously untreated, advanced stage, CD20-positive diffuse large B-cell lymphoma (DLBCL), Burkitt lymphoma (BL), Burkitt-like lymphoma (BLL) or mature B-cell acute leukemia (B-AL) in combination with chemotherapy",12-02-2021,positive,HGNC:7315,MS4A1,Burkitt lymphoma,MONDO:0007243,,,,,,,,,,,,,,
26,Rituximab [Rituxan],"Treatment of pediatric patients aged 6 months and older with previously untreated, advanced stage, CD20-positive diffuse large B-cell lymphoma (DLBCL), Burkitt lymphoma (BL), Burkitt-like lymphoma (BLL) or mature B-cell acute leukemia (B-AL) in combination with chemotherapy",12-02-2021,positive,HGNC:7315,MS4A1,Diffuse Large B-Cell Lymphoma,MONDO:0018905,,,,,,,,,,,,,,
68,Arsenic trioxide [Trisenox],"Induction of remission and consolidation in patients with acute promyelocytic leukemia (APL) who are refractory to, or have relapsed from, retinoid and anthracycline chemotherapy, and whose APL is characterized by the presence of the t(15;17) translocation or PML/RAR-alpha gene expression",09-25-2000,translocation,HGNC:9113 | HGNC:9864,PML | RARA,Acute Promyelocytic Leukemia with PML-RARA,MONDO:0100375,,,,,,,,,,,,,,
0,Revumenib [Revuforj],Treatment of relapsed or refractory acute leukemia with a lysine methyltransferase 2A gene (KMT2A) translocation in adult and pediatric patients 1 year and older,11-15-2024,Translocation,HGNC:7132,KMT2A,Acute Undifferentiated Leukemia,MONDO:0010643,,,,,,,,,,,,,,
69,Tretinoin [Vesanoid],"Induction of remission in adults and pediatric patients 1 year of age and older with acute promyelocytic leukemia (APL) characterized by the presence of the t(15;17) translocation or PML/RARα gene expression, and who are refractory to or who have relapsed from anthracycline chemotherapy or for whom anthracycline-based chemotherapy is contraindicated",11-22-1995 #,translocation,HGNC:9113 | HGNC:9864,PML | RARA,Acute Promyelocytic Leukemia with PML-RARA,MONDO:0012883,,,,,,,,,,,,,,
14,Dabrafenib [Tafinlar],"In combination with trametinib, for the treatment of adult and pediatric patients 1 year of age and older with unresectable or metastatic solid tumors with BRAF V600E mutation who have progressed following prior treatment and have no satisfactory alternative treatment options",8-31-2023 *,V600E mutation,HGNC:1097,BRAF,metastatic neoplasm,MONDO:0024883,,,,,,,,,,,,,,
16,Dabrafenib [Tafinlar],"In combination with trametinib, for the treatment of pediatric patients 1 year of age and older with low-grade glioma (LGG) with a BRAF V600E mutation who require systemic therapy",03-16-2023,V600E mutation,HGNC:1097,BRAF,Low Grade Glioma,MONDO:0021637,,,,,,,,,,,,,,
15,Trametinib [Mekinist],"In combination with dabrafenib, for the treatment of adult and pediatric patients 1 year of age and older with unresectable or metastatic solid tumors with BRAF V600E mutation who have progressed following prior treatment and have no satisfactory alternative treatment options",8-31-2023 *,V600E mutation,HGNC:1097,BRAF,metastatic neoplasm,MONDO:0024883,,,,,,,,,,,,,,
17,Trametinib [Mekinist],"In combination with dabrafenib, for the treatment of pediatric patients 1 year of age and older with low-grade glioma (LGG) with a BRAF V600E mutation who require systemic therapy",03-16-2023,V600E mutation,HGNC:1097,BRAF,Low Grade Glioma,MONDO:0021637,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
